,lat,lon
145,9.6000359,7.9999721
146,52.6296421,-1.6926932
147,36.7295295,-119.70886126075588
148,53.4794892,-2.2451148
150,9.6000359,7.9999721
151,,
152,,
153,51.5073219,-0.1276474
156,53.3806626,-1.4702278
159,35.3935017,-76.1253302
160,53.4794892,-2.2451148
161,53.4794892,-2.2451148
162,53.1673422,-2.2928802778613573
163,53.4071991,-2.99168
164,53.473716,-2.3014672
165,52.19758465,0.1391537373687439
166,25.07428235,55.18853865430702
167,38.6620926,-87.2042611
168,53.4794892,-2.2451148
169,51.5073219,-0.1276474
170,40.7300685,-73.2107266
171,11.8948389,8.5364136
172,50.4134414,-5.0848836
173,8.0300284,-1.0800271
176,51.7585549,-1.2609420887947271
177,50.000678,-86.000977
178,54.7023545,-3.2765753
179,40.0757384,-74.4041622
180,6.4550575,3.3941795
181,34.022405,-6.834543
182,53.4794892,-2.2451148
183,51.5073219,-0.1276474
184,52.5310214,-1.2649062
187,53.7907262,-2.2439196
188,34.2331373,-102.4107493
189,,
190,40.5834557,-74.1496048
192,32.3293809,-83.1137366
193,53.7974185,-1.5437941
197,53.5227681,-1.1335312
198,54.34600675,-2.483718041949941
201,52.3106138,-0.8659129831915817
202,54.7023545,-3.2765753
205,54.7023545,-3.2765753
206,6.6985605,-1.6233086
208,52.5310214,-1.2649062
209,53.4794892,-2.2451148
211,,
212,53.4794892,-2.2451148
213,53.4794892,-2.2451148
214,53.4794892,-2.2451148
217,52.661252,-8.6301239
218,,
219,54.7023545,-3.2765753
221,9.9175125,8.8979401
224,54.7023545,-3.2765753
225,53.4794892,-2.2451148
226,52.9559076,-1.1557387
227,54.7023545,-3.2765753
228,53.2352134,-1.4264097
229,22.3511148,78.6677428
230,59.6749712,14.5208584
231,5.7499721,-9.3658524
232,39.7683331,-86.1583502
233,6.4550575,3.3941795
234,53.4794892,-2.2451148
236,-1.30325275,36.82636768555869
237,19.0785451,72.878176
238,8.0300284,-1.0800271
240,54.7023545,-3.2765753
241,,
242,51.5074889,-0.1622366830806721
243,53.4794892,-2.2451148
244,8.9292657,76.9065012
245,40.1578403,-83.0751869
246,-25.9949382,27.5366082
247,-6.9344694,107.6049539
249,38.7761815,-84.0571529
250,19.0785451,72.878176
251,51.5073219,-0.1276474
255,51.5073219,-0.1276474
256,53.445428,-2.3223051
257,34.2331373,-102.4107493
258,41.1845415,-73.1331651
259,54.7023545,-3.2765753
260,39.7837304,-100.445882
261,53.46310955,-2.291386485054536
262,53.46246785,-2.2938827486798834
264,53.4794892,-2.2451148
265,,
266,22.3511148,78.6677428
268,53.4794892,-2.2451148
269,12.7503486,122.7312101
273,52.6510216,-7.2484948
276,50.90894935,-1.4028279688936147
280,60.5000209,9.0999715
281,14.4750607,-14.4529612
282,52.4796992,-1.9026911
283,53.46310955,-2.291386485054536
284,26.1551249,50.5344606
286,33.8959203,35.47843
288,52.5170365,13.3888599
289,53.4794892,-2.2451148
291,,
293,25.07428235,55.18853865430702
295,53.46310955,-2.291386485054536
296,51.5073219,-0.1276474
298,39.6262264,19.9036023
299,51.5073219,-0.1276474
300,,
302,,
303,,
304,,
306,34.2331373,-102.4107493
307,53.4794892,-2.2451148
308,,
310,22.5726723,88.3638815
311,39.7837304,-100.445882
313,51.5073219,-0.1276474
314,52.5310214,-1.2649062
317,9.6000359,7.9999721
318,52.5310214,-1.2649062
319,34.0536909,-118.242766
321,48.8588897,2.3200410217200766
324,38.0750054,126.4559698629371
326,53.4794892,-2.2451148
327,,
328,37.7790262,-122.419906
329,53.4794892,-2.2451148
330,,
332,22.3511148,78.6677428
335,53.4508687,-2.0782603
337,33.8959203,35.47843
338,-26.205,28.049722
339,,
341,51.5073219,-0.1276474
342,54.7023545,-3.2765753
346,52.4796992,-1.9026911
349,53.2141028,-2.471770086071205
350,,
352,6.4550575,3.3941795
357,,
361,53.4794892,-2.2451148
362,0.3177137,32.5813539
363,51.5073219,-0.1276474
364,,
365,18.521428,73.8544541
369,53.4794892,-2.2451148
370,41.4996574,-81.6936772
371,53.50652485,-2.3374401422576687
374,53.4794892,-2.2451148
375,,
376,35.2521996,-92.6888936
378,18.521428,73.8544541
379,51.25,-1.916667
380,53.4877463,-2.2891921
381,53.4794892,-2.2451148
384,40.19399,-74.79772
386,22.3511148,78.6677428
387,52.865196,-7.9794599
390,9.6000359,7.9999721
392,25.07428235,55.18853865430702
393,51.514580550000005,-0.1252157226608513
394,51.5133984,-0.1581938
395,53.8917524,-1.9922285
397,,
398,52.865196,-7.9794599
400,-26.205,28.049722
401,7.5554942,80.7137847
403,9.6000359,7.9999721
406,13.0836939,80.270186
409,51.5073219,-0.1276474
410,54.7023545,-3.2765753
411,32.7762719,-96.7968559
412,,
413,,
414,40.3270127,-86.1746933
415,39.7683331,-86.1583502
418,10.9094334,78.3665347
419,3.051487,101.5823339
423,6.4550575,3.3941795
424,1.4419683,38.4313975
427,54.7023545,-3.2765753
428,43.6534817,-79.3839347
431,34.2331373,-102.4107493
433,53.4794892,-2.2451148
434,54.7023545,-3.2765753
435,52.5310214,-1.2649062
437,14.6883322,121.102176
438,0.3177137,32.5813539
439,52.9534193,-1.1496461
440,51.5554153,-1.8105324
443,52.1383141,-8.6525715
